line;track;km;geometry_type;radius;arrow;theoric_width;radius_width;use_width;project_cant
1;2;7888.5;Recta;inf;5.01E-05;0;0;0;0
1;2;7888.75;Recta;inf;0;0;0;0;0
1;2;7889;Recta;inf;4.99E-05;0;0;0;0
1;2;7889.25;Recta;inf;0;0;0;0;0
1;2;7889.5;Recta;inf;7.10E-05;0;0;0;0
1;2;7889.75;Recta;inf;5.03E-05;0;0;0;0
1;2;7890;Recta;inf;4.99E-05;0;0;0;0
1;2;7890.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7890.5;Recta;inf;5.01E-05;0;0;0;0
1;2;7890.75;Recta;inf;0;0;0;0;0
1;2;7891;Recta;inf;4.99E-05;0;0;0;0
1;2;7891.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7891.5;Recta;inf;5.01E-05;0;0;0;0
1;2;7891.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7892;Recta;inf;5.01E-05;0;0;0;0
1;2;7892.25;Recta;inf;9.31E-07;0;0;0;0
1;2;7892.5;Recta;inf;4.99E-05;0;0;0;0
1;2;7892.75;Recta;inf;0;0;0;0;0
1;2;7893;Recta;inf;5.01E-05;0;0;0;0
1;2;7893.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7893.5;Recta;inf;4.99E-05;0;0;0;0
1;2;7893.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7894;Recta;inf;4.99E-05;0;0;0;0
1;2;7894.25;Recta;inf;0;0;0;0;0
1;2;7894.5;Recta;inf;7.03E-05;0;0;0;0
1;2;7894.75;Recta;inf;0;0;0;0;0
1;2;7895;Recta;inf;4.99E-05;0;0;0;0
1;2;7895.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7895.5;Recta;inf;5.01E-05;0;0;0;0
1;2;7895.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7896;Recta;inf;4.99E-05;0;0;0;0
1;2;7896.25;Recta;inf;9.31E-07;0;0;0;0
1;2;7896.5;Recta;inf;5.01E-05;0;0;0;0
1;2;7896.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7897;Recta;inf;0;0;0;0;0
1;2;7897.25;Recta;inf;9.39E-07;0;0;0;0
1;2;7897.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7897.75;Recta;inf;0;0;0;0;0
1;2;7898;Recta;inf;1.16E-07;0;0;0;0
1;2;7898.25;Recta;inf;0;0;0;0;0
1;2;7898.5;Recta;inf;0;0;0;0;0
1;2;7898.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7899;Recta;inf;0;0;0;0;0
1;2;7899.25;Recta;inf;4.94E-05;0;0;0;0
1;2;7899.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7899.75;Recta;inf;0;0;0;0;0
1;2;7900;Recta;inf;0;0;0;0;0
1;2;7900.25;Recta;inf;0;0;0;0;0
1;2;7900.5;Recta;inf;0;0;0;0;0
1;2;7900.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7901;Recta;inf;1.16E-07;0;0;0;0
1;2;7901.25;Recta;inf;9.39E-07;0;0;0;0
1;2;7901.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7901.75;Recta;inf;0;0;0;0;0
1;2;7902;Recta;inf;0;0;0;0;0
1;2;7902.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7902.5;Recta;inf;0;0;0;0;0
1;2;7902.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7903;Recta;inf;1.16E-07;0;0;0;0
1;2;7903.25;Recta;inf;0;0;0;0;0
1;2;7903.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7903.75;Recta;inf;0;0;0;0;0
1;2;7904;Recta;inf;4.94E-05;0;0;0;0
1;2;7904.25;Recta;inf;4.94E-05;0;0;0;0
1;2;7904.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7904.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7905;Recta;inf;1.16E-07;0;0;0;0
1;2;7905.25;Recta;inf;0;0;0;0;0
1;2;7905.5;Recta;inf;0;0;0;0;0
1;2;7905.75;Recta;inf;0;0;0;0;0
1;2;7906;Recta;inf;0;0;0;0;0
1;2;7906.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7906.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7906.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7907;Recta;inf;9.39E-07;0;0;0;0
1;2;7907.25;Recta;inf;0;0;0;0;0
