pk_geo;pk_client;line;track;category;direction;rail_typology_code;armament;fastening;rail_typology;Vcir;technical_location;inter_station;X;Y;created_by;data_version;huso
786975000;7869.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724267.3904;4381092.587;jgomez;0;30
787000000;7870;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724267.4919;4381092.359;jgomez;0;30
787025000;7870.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724267.5933;4381092.13;jgomez;0;30
787050000;7870.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724267.6948;4381091.902;jgomez;0;30
787075000;7870.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724267.7962;4381091.673;jgomez;0;30
787100000;7871;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724267.8977;4381091.445;jgomez;0;30
787125000;7871.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724267.9991;4381091.216;jgomez;0;30
787150000;7871.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724268.1005;4381090.988;jgomez;0;30
787175000;7871.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724268.202;4381090.76;jgomez;0;30
787200000;7872;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724268.3034;4381090.531;jgomez;0;30
787225000;7872.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724268.4049;4381090.303;jgomez;0;30
787250000;7872.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724268.5063;4381090.074;jgomez;0;30
